"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"MAD","1225","0398671","Active",,,"Free Gold Watch","1767 WALLER ST","San Francisco","CA","POINT (-122.452713 37.768212)","Haight Ashbury","8","PARK","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1228","0488875","Active","P23","Place of Entertainment","Origin Restaurant & Lounge","1538 FILLMORE ST","San Francisco","CA","POINT (-122.432769916 37.783731857)","Western Addition","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1230","0486121","Active","P23","Place of Entertainment","SCHROEDER'S","240 FRONT ST","San Francisco","CA","POINT (-122.3985555 37.793961)","Financial District/South Beach","3","CENTRAL","2024/11/20 03:53:23 PM","2025/10/10 08:05:31 AM"
"POE, MAD, BP","1232","0485629","Active","P23","Place of Entertainment","Buzzworks","365 11TH ST","San Francisco","CA","POINT (-122.4128925 37.771299)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1233","0048140","Active",,,"Specs 12 Adler Museum","12 SAROYAN PL","San Francisco","CA","POINT (-122.406097685 37.797533474)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1236","0465668","Active",,,"Mission Bowling Club","3176 17TH ST","San Francisco","CA","POINT (-122.41674 37.763937)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1238","0397646","Active","P23","Place of Entertainment","Cocobang","550 TAYLOR ST","San Francisco","CA","POINT (-122.411600643 37.787470654)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1243","1030172","Active","P23","Place of Entertainment","Amados","998 VALENCIA ST","San Francisco","CA","POINT (-122.421174593 37.756995645)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1249","1001283","Active","P23","Place of Entertainment","The Village","969 MARKET ST","San Francisco","CA","POINT (-122.40953058 37.782750773)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1251","0485119","Active","P23","Place of Entertainment","Bartlett Hall","240 OFARRELL ST","San Francisco","CA","POINT (-122.408815838 37.78634734)","Tenderloin","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1256","0397243","Active",,,"Gestalt","3159 16TH ST","San Francisco","CA","POINT (-122.4233145 37.764576)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","126",,"Active","P23","Place of Entertainment","SF MUSEUM OF MODERN ART","151 3RD ST","San Francisco","CA","POINT (-122.400765 37.785924)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1262","0470426","Active",,,"John's Grill","63 ELLIS ST","San Francisco","CA","POINT (-122.4072 37.785393)","Financial District/South Beach","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1263","1067482","Active","P23","Place of Entertainment","Swedish American Hall/ Cafe du Nord","2174 MARKET ST","San Francisco","CA","POINT (-122.430489325 37.766432477)","Castro/Upper Market","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1268","0484015","Active","P23","Place of Entertainment","Pop's Clubhouse","2800 24TH ST","San Francisco","CA","POINT (-122.4084105 37.752975)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1270","1001929","Active","P23","Place of Entertainment","Jaxson","3231 FILLMORE ST","San Francisco","CA","POINT (-122.436024667 37.799508551)","Marina","2","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1272","0367539","Active",,,"Oye Managua","3385 MISSION ST","San Francisco","CA","POINT (-122.421863275 37.742505764)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
